text,course,lecture_id,source,page,chunk_id
"8
Modelling Long-Run Relationships in Finance
LEARNING OUTCOMES
In this chapter, you will learn how to
Highlight the problems that may occur if non-stationary data are
used in their levels form
Test for unit roots
Examine whether systems of variables are cointegrated
Estimate error correction and vector error correction models
Explain the intuition behind Johansen’s test for cointegration
Describe how to test hypotheses in the Johansen framework
8.1
Stationarity and Unit Root Testing
8.1.1
Why are Tests for Non-Stationarity Necessary?
There are several reasons why the concept of non-stationarity is important
and why it is essential that variables that are non-stationary be treated
differently from those that are stationary. Two definitions of non-",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,0,0
"and why it is essential that variables that are non-stationary be treated
differently from those that are stationary. Two definitions of non-
stationarity were presented at the start of 
Chapter 6
. For the purpose of the
analysis in this chapter, a stationary series can be defined as one with a
constant mean, constant variance
 and 
constant autocovariances
 for each
given lag. Therefore, the discussion in this chapter relates to the concept of
weak stationarity. An examination of whether a series can be viewed as
stationary or not is essential for the following reasons
The stationarity or otherwise of a series can 
strongly influence its
437",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,0,1
"behaviour and properties
. To offer one illustration, the word ‘shock’
is usually used to denote a change or an unexpected change in a
variable or perhaps simply the value of the error term during a
particular time period. For a stationary series, ‘shocks’ to the system
will gradually die away. That is, a shock during time 
t
 will have a
smaller effect in time 
t
 + 1, a smaller effect still in time 
t
 + 2, and 
so
on. This can be contrasted with the case of non-stationary data, where
the persistence of shocks will always be infinite, so that for a non-
stationary series, the effect of a shock during time 
t
 will not have a
smaller effect in time 
t
 +1, and in time 
t
 +2, etc.
The use of non-stationary data can lead to 
spurious regressions
. If",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,1,2
"t
 will not have a
smaller effect in time 
t
 +1, and in time 
t
 +2, etc.
The use of non-stationary data can lead to 
spurious regressions
. If
two stationary variables are generated as independent random series,
when one of those variables is regressed on the other, the 
t
-ratio on
the slope coefficient would be expected not to be significantly
different from zero, and the value of 
R
2
 would be expected to be very
low. This seems obvious, for the variables are not related to one
another. However, if two variables are trending over time, a
regression of one on the other could have a high 
R
2
 even if the two
are totally unrelated. So, if standard regression techniques are applied
to non-stationary data, the end result could be a regression that",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,1,3
"are totally unrelated. So, if standard regression techniques are applied
to non-stationary data, the end result could be a regression that
‘looks’ good under standard measures (significant coefficient
estimates and a high 
R
2
), but which is really valueless. Such a model
would be termed a ‘spurious regression’.
To give an illustration of this, two independent sets of non-
stationary variables, 
y
 and 
x
, were generated with sample size 500,
one regressed on the other and the 
R
2
 noted. This was repeated 1,000
times to obtain 1,000 
R
2
 values. A histogram of these values is given
in 
Figure 8.1
.
As 
Figure 8.1
 shows, although one would have expected the 
R
2
values for each regression to be close to zero, since the explained and",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,1,4
"Figure 8.1
.
As 
Figure 8.1
 shows, although one would have expected the 
R
2
values for each regression to be close to zero, since the explained and
explanatory variables in each case are independent of one another, in
fact 
R
2
 takes on values across the whole range. For one set of data, 
R
2
is bigger than 0.9, while it is bigger than 0.5 over 16% of the time!
If the variables employed in a regression model are 
not stationary
,
then it can be proved that the standard assumptions for asymptotic
analysis will not be valid. In other words, the usual ‘
t
-ratios’ will not
follow a 
t
-distribution, and the 
F
-statistic will not follow an 
F
-
distribution, and so on. Using the same simulated data as used to
produce 
Figure 8.1
, 
Figure 8.2
 plots a histogram of the estimated 
t
-
438",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,1,5
"ratio on the slope coefficient for each set of data.
In general, if one variable is regressed on another unrelated
variable, the 
t
-ratio on the slope coefficient will follow a 
t
-
distribution. For a sample of size 500, this implies that 95% of the
time, the 
t
-ratio will lie between ±2. As 
Figure 8.2
 shows quite
dramatically, however, the standard 
t
-ratio in a regression of non-
stationary variables can take on enormously large values. In fact, in
the above example, the 
t
-ratio is bigger than 2 in absolute value over
98% of the time, when it should be bigger than 2 in absolute value
only approximately 5% of the time! Clearly, it is therefore not
possible to validly undertake hypothesis tests about the regression
parameters if the data are non-stationary.
Figure 8.1
  Value of 
R",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,2,6
"possible to validly undertake hypothesis tests about the regression
parameters if the data are non-stationary.
Figure 8.1
  Value of 
R
2
 for 1000 sets of regressions of a non-stationary
variable on another independent non-stationary variable
439",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,2,7
"Figure 8.2
  Value of 
t
-ratio of slope coefficient for 1,000 sets of
regressions of a non-stationary variable on another independent non-
stationary variable
8.1.2
Two Types of Non-Stationarity
There are two models that have been frequently used to characterise the
non-stationarity, the 
random walk model with drift
(
8.1)
and the 
trend-stationary process
 – so called because it is stationary around
a linear trend
(
8.2)
where 
u
t
 is a white noise disturbance term in both cases.
Note that the model 
(8.1)
 could be generalised to the case where 
y
t
 is an
explosive process
(
7.47)
where 
ϕ
 > 1. Typically, this case is ignored and 
ϕ
 = 1 is used to
characterise the non-stationarity because 
ϕ
 > 1 does not describe many
data series in economics and finance, but 
ϕ",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,3,8
"ϕ
 = 1 is used to
characterise the non-stationarity because 
ϕ
 > 1 does not describe many
data series in economics and finance, but 
ϕ
 = 1 has been found to describe
accurately many financial and economic time series. Moreover, 
ϕ
 > 1 has
an intuitively unappealing property: shocks to the system are not only
persistent through time, they are propagated so that a given shock will
440",default_course,sample_data,C:\Users\Admin\OneDrive\Desktop\Capstone-MAT496\data\sample_data.pdf,3,9
